浙江组播源,#genre#
CCTV2,http://222.217.124.115:8899/udp/239.81.0.115:4056
来自广西电信(222.217.124.115:8899)的组播源共有163个频道：
CCTV2,http://222.217.124.115:8899/udp/239.81.0.14:4056
CCTV3,http://222.217.124.115:8899/udp/239.81.0.231:4056
CCTV4,http://222.217.124.115:8899/udp/239.81.0.96:4056
CCTV4,http://222.217.124.115:8899/udp/239.81.0.16:4056
CCTV5,http://222.217.124.115:8899/udp/239.81.0.232:4056
CCTV5＋,http://222.217.124.115:8899/udp/239.81.0.101:4056
CCTV6,http://222.217.124.115:8899/udp/239.81.0.233:4056
CCTV7,http://222.217.124.115:8899/udp/239.81.0.116:4056
CCTV7,http://222.217.124.115:8899/udp/239.81.0.19:4056
CCTV8,http://222.217.124.115:8899/udp/239.81.0.234:4056
CCTV9,http://222.217.124.115:8899/udp/239.81.0.117:4056
CCTV9,http://222.217.124.115:8899/udp/239.81.0.21:4056
CCTV10,http://222.217.124.115:8899/udp/239.81.0.118:4056
CCTV10,http://222.217.124.115:8899/udp/239.81.0.22:4056
CCTV11,http://222.217.124.115:8899/udp/239.81.0.229:4056
CCTV11,http://222.217.124.115:8899/udp/239.81.0.23:4056
CCTV12,http://222.217.124.115:8899/udp/239.81.0.119:4056
CCTV12,http://222.217.124.115:8899/udp/239.81.0.24:4056
CCTV13,http://222.217.124.115:8899/udp/239.81.0.26:4056
来自广西电信(222.217.124.115:8899)的组播源共有163个频道：
CCTV13,http://222.217.124.115:8899/udp/239.81.0.206:4056
CCTV14,http://222.217.124.115:8899/udp/239.81.0.120:4056
CCTV14,http://222.217.124.115:8899/udp/239.81.0.25:4056
CCTV15,http://222.217.124.115:8899/udp/239.81.0.230:4056
CCTV15,http://222.217.124.115:8899/udp/239.81.0.27:4056
CCTV17,http://222.217.124.115:8899/udp/239.81.0.228:4056
CCTV17,http://222.217.124.115:8899/udp/239.81.0.227:4056
CGTN,http://222.217.124.115:8899/udp/239.81.0.28:4056
CCTV中学生,http://222.217.124.115:8899/udp/239.81.0.87:4056
CETV1,http://222.217.124.115:8899/udp/239.81.0.92:4056
CETV1,http://222.217.124.115:8899/udp/239.81.0.52:4056
CETV2,http://222.217.124.115:8899/udp/239.81.0.245:4056
CETV4,http://222.217.124.115:8899/udp/239.81.0.246:4056
南宁影视,http://222.217.124.115:8899/udp/239.81.0.128:4056
南宁新闻,http://222.217.124.115:8899/udp/239.81.0.241:4056
南宁新闻,http://222.217.124.115:8899/udp/239.81.0.126:4056
南宁公共,http://222.217.124.115:8899/udp/239.81.0.129:4056
南宁都市,http://222.217.124.115:8899/udp/239.81.0.127:4056
柳州新闻,http://222.217.124.115:8899/udp/239.81.0.134:4056
北海新闻,http://222.217.124.115:8899/udp/239.81.0.136:4056
来自广西电信(222.217.124.115:8899)的组播源共有163个频道：
玉林新闻,http://222.217.124.115:8899/udp/239.81.0.138:4056
贺州新闻,http://222.217.124.115:8899/udp/239.81.0.137:4056
桂林新闻,http://222.217.124.115:8899/udp/239.81.0.135:4056
爱上4K,http://222.217.124.115:8899/udp/239.81.0.123:4056
经典电影,http://222.217.124.115:8899/udp/239.81.0.84:4056
热播剧场,http://222.217.124.115:8899/udp/239.81.0.85:4056
